# Assembly Part List incl. Component Properties
#
# Date = 2021/10/07 17:08:02
# Job Name =C:\CAx\Prj\ZUKEN\41882596_AA_Scania_CooX\job\PNL\Panel02\Panel02.mdgn
# Units = millimeters
# Decimal Digits =3
#
# PCB/PNL Type;Offset-X;Offset-Y;Rotation
#
# NA;0.000;0.000;0.000
# board1;0.000;9.000;0.000
# board2;164.000;9.000;0.000
#
#
#
# Reference;Part_Name;Value;Tolerance;Pos_Tolerance;Neg_Tolerance;Geometry;Rated_Voltage;Technology;Placement_Side;Rotation;Position-X;Positon-Y;Pin_Count;Component_Height_on_Placement_Side;Part_Families;Mounting_Type;Footprint_Specification;Package_Type;Function_Code;EMC_Code;Board# on Panel;Part_Name_SV;Part_Name_CAS;Exclude_from_SAP_BOM;Multipitch_Pair;
C3001;A2C02317800;22n;NA;10%;10%;0402_06_m01a;25V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;12.700;103.500;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;Reverse_Polarity_Protection;NO;board1;A2C0231780000;A2C0231780000;NA;NA;
C3001;A2C02317800;22n;NA;10%;10%;0402_06_m01a;25V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;176.700;103.500;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;Reverse_Polarity_Protection;NO;board2;A2C0231780000;A2C0231780000;NA;NA;
C3002;A2C03510800;15n;NA;10%;10%;chip_0805_h1000_c2_c01a;250V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;8.650;52.650;2;1.000;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;Reverse_Polarity_Protection;NO;board1;A2C0351080000;A2C0351080000;NA;NA;
C3002;A2C03510800;15n;NA;10%;10%;chip_0805_h1000_c2_c01a;250V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;172.650;52.650;2;1.000;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;Reverse_Polarity_Protection;NO;board2;A2C0351080000;A2C0351080000;NA;NA;
C3003;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;180.000;6.350;73.150;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;Reverse_Polarity_Protection;NO;board1;A2C0311880000;A2C0311880000;NA;NA;
C3003;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;180.000;170.350;73.150;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;Reverse_Polarity_Protection;NO;board2;A2C0311880000;A2C0311880000;NA;NA;
C3004;A2C02317700;100n;NA;10%;10%;0402_06_m01a;16V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;101.800;121.450;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;Reverse_Polarity_Protection;NO;board1;A2C0231770000;A2C0231770000;NA;NA;
C3004;A2C02317700;100n;NA;10%;10%;0402_06_m01a;16V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;265.800;121.450;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;Reverse_Polarity_Protection;NO;board2;A2C0231770000;A2C0231770000;NA;NA;
C3005;A2C40006904;470p;NA;5%;5%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;11.200;85.150;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;Reverse_Polarity_Protection;NO;board1;A2C4000690400;A2C4000690400;NA;NA;
C3005;A2C40006904;470p;NA;5%;5%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;175.200;85.150;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;Reverse_Polarity_Protection;NO;board2;A2C4000690400;A2C4000690400;NA;NA;
C3006;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;14.550;92.150;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;Reverse_Polarity_Protection;NO;board1;A2C0311880000;A2C0311880000;NA;NA;
C3006;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;178.550;92.150;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;Reverse_Polarity_Protection;NO;board2;A2C0311880000;A2C0311880000;NA;NA;
C3007;A2C01809800;1u;NA;10%;10%;0805_145_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;180.000;13.900;81.750;2;1.450;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;Reverse_Polarity_Protection;NO;board1;A2C0180980000;A2C0180980000;NA;NA;
C3007;A2C01809800;1u;NA;10%;10%;0805_145_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;180.000;177.900;81.750;2;1.450;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;Reverse_Polarity_Protection;NO;board2;A2C0180980000;A2C0180980000;NA;NA;
C3008;A2C02373600;2.2n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;6.650;84.700;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;Reverse_Polarity_Protection;NO;board1;A2C0237360000;A2C0237360000;NA;NA;
C3008;A2C02373600;2.2n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;170.650;84.700;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;Reverse_Polarity_Protection;NO;board2;A2C0237360000;A2C0237360000;NA;NA;
C3009;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;6.800;79.650;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;Reverse_Polarity_Protection;NO;board1;A2C0311880000;A2C0311880000;NA;NA;
C3009;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;170.800;79.650;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;Reverse_Polarity_Protection;NO;board2;A2C0311880000;A2C0311880000;NA;NA;
C3010;A2C01561600;100p;NA;1%;1%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;6.950;80.400;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;NA;NO;board1;A2C0156160000;A2C0156160000;NA;NA;
C3010;A2C01561600;100p;NA;1%;1%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;170.950;80.400;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;NA;NO;board2;A2C0156160000;A2C0156160000;NA;NA;
C3012;A2C01809800;1u;NA;10%;10%;0805_145_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;180.000;13.100;91.808;2;1.450;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;Reverse_Polarity_Protection;NO;board1;A2C0180980000;A2C0180980000;NA;NA;
C3012;A2C01809800;1u;NA;10%;10%;0805_145_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;180.000;177.100;91.808;2;1.450;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;Reverse_Polarity_Protection;NO;board2;A2C0180980000;A2C0180980000;NA;NA;
C3014;A2C02318400;470n;NA;10%;10%;0603_m01a;16V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;6.900;109.950;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;Reverse_Polarity_Protection;NO;board1;A2C0231840000;A2C0231840000;NA;NA;
C3014;A2C02318400;470n;NA;10%;10%;0603_m01a;16V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;170.900;109.950;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;Reverse_Polarity_Protection;NO;board2;A2C0231840000;A2C0231840000;NA;NA;
C4000;A2C02602100;1u;NA;10%;10%;chip_0402_b1200x0700_h0700_c01a;10V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;78.800;131.100;2;0.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;Main_MCU_ADC_Reference;NO;board1;A2C0260210000;A2C0260210000;NA;NA;
C4000;A2C02602100;1u;NA;10%;10%;chip_0402_b1200x0700_h0700_c01a;10V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;242.800;131.100;2;0.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;Main_MCU_ADC_Reference;NO;board2;A2C0260210000;A2C0260210000;NA;NA;
C4001;A2C02933200;4.7u;NA;10%;10%;1210_30_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;16.500;143.850;2;3.000;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;Buck_13V;NO;board1;A2C0293320000;A2C0293320000;NA;NA;
C4001;A2C02933200;4.7u;NA;10%;10%;1210_30_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;180.500;143.850;2;3.000;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;Buck_13V;NO;board2;A2C0293320000;A2C0293320000;NA;NA;
