# Assembly Part List incl. Component Properties
#
# Date = 2020/06/05 10:01:49
# Job Name =C:\CAx\Prj\ZUKEN\41538289_AB_ADC418AI12\job\PNL\Panel01\Panel.mdgn
# Units = millimeters
# Decimal Digits =3
#
# PCB/PNL Type;Offset-X;Offset-Y;Rotation
#
# NA;0.000;0.000;0.000
# board1;0.000;0.000;0.000
#
#
# Reference;Part_Name;Value;Tolerance;Pos_Tolerance;Neg_Tolerance;Geometry;Rated_Voltage;Technology;Placement_Side;Rotation;Position-X;Positon-Y;Pin_Count;Component_Height_on_Placement_Side;Part_Families;Mounting_Type;Footprint_Specification;Package_Type;Function_Code;EMC_Code;Board# on Panel;Part_Name_SV;Part_Name_CAS;Exclude_from_SAP_BOM;Multipitch_Pair;
C12060;A2C03176600;10n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;163.375;64.075;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;IPC_DROPBUFFER_20MS_15A;NO;board1;A2C0317660000;A2C0317660000;NA;NA;
C12062;A2C40006265;3.3n;NA;10%;10%;0402_06_m01a;25V;SBU08_RR_SM075_Cu35;B_SIDE;0.000;164.675;73.575;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;IPC_DROPBUFFER_20MS_15A;NO;board1;A2C4000626500;A2C4000626500;NA;NA;
C12074;A2C03169500;4.7u;NA;10%;10%;0805_145_m01a;16V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;170.100;33.100;2;1.450;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_ISENSE_INA302_1;NO;board1;A2C0316950000;A2C0316950000;NA;NA;
C12075;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;161.100;24.900;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_ISENSE_INA302_1;NO;board1;A2C0311880000;A2C0311880000;NA;NA;
C12076;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;163.200;38.500;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_ISENSE_INA302_1;NO;board1;A2C0311880000;A2C0311880000;NA;NA;
C13006;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;143.875;80.200;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C13007;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;140.575;80.200;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C13008;A2C01086800;68u;NA;20%;20%;ecr6h8_m01a;35V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;140.175;77.600;2;8.200;Capacitor Electrolytic;UNDEF;ReflowReflow;UNDEF;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0108680000;A2C0108680000;NA;NA;
C13009;A2C01324000;1u;NA;10%;10%;0805_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;137.950;79.500;2;1.300;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0132400000;A2C0132400000;NA;NA;
C13010;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;128.500;73.850;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0311880000;A2C0311880000;NA;NA;
C13011;A2C02318800;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;0.000;137.725;76.750;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0231880000;A2C0231880000;NA;NA;
C13012;A2C01324000;1u;NA;10%;10%;0805_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;139.275;74.475;2;1.300;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0132400000;A2C0132400000;NA;NA;
C13013;A2C02373300;220p;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;134.525;71.900;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0237330000;A2C0237330000;NA;NA;
C13014;A2C01369700;15n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;134.525;71.000;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0136970000;A2C0136970000;NA;NA;
C13015;A2C02317900;1n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;134.525;69.775;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0231790000;A2C0231790000;NA;NA;
C13017;A2C01086800;68u;NA;20%;20%;ecr6h8_m01a;35V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;155.775;77.600;2;8.200;Capacitor Electrolytic;UNDEF;ReflowReflow;UNDEF;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0108680000;A2C0108680000;NA;NA;
C13018;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;148.000;80.200;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PREBOOST_LM5155_27V_1A;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
