Creation date of BOM:;26/08/2021 12:42:46;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Design name:;ADC418AI12;;;;;;;;;;;;;;;;;;;;
Destination name:;ADC418AI12_DDR8Gb;;;;;;;;;;;;;;;;;;;;
Schematic Doc No.:;A2.C775-6410.7_PCB_BA0_AA_SCMVA;;;;;;;;;;;;;;;;;;;;
Reference;CompID;ReusedComp;ECDM Nomenclature;Value;tolerance;ud_PosTolerance;ud_NegTolerance;Part Name;Part Number NPP;Part Number CSE;Part Number Global;packageName;Variation;VariationItem;Module name;Module reference;Module;Module mode;Module number;Function Code;Component Group
C94041; .cmp436;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94042; .cmp437;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94043; .cmp438;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94044; .cmp439;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94045; .cmp440;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94046; .cmp441;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94047; .cmp442;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94048; .cmp443;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94049; .cmp444;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94050; .cmp445;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94051; .cmp446;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94052; .cmp447;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94053; .cmp448;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94054; .cmp449;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94055; .cmp450;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94056; .cmp451;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94057; .cmp452;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94058; .cmp453;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94059; .cmp454;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94060; .cmp455;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94061; .cmp456;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94062; .cmp457;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94063; .cmp458;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94064; .cmp459;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94065; .cmp460;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94066; .cmp461;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94067; .cmp462;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94068; .cmp463;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94069; .cmp464;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94070; .cmp465;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94071; .cmp466;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94072; .cmp467;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94073; .cmp468;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94074; .cmp469;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94075; .cmp470;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94076; .cmp471;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94077; .cmp472;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94078; .cmp473;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94079; .cmp474;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94080; .cmp475;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94081; .cmp476;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94082; .cmp477;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94083; .cmp478;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94084; .cmp479;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94085; .cmp480;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94086; .cmp481;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94087; .cmp482;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94088; .cmp483;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94089; .cmp484;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94090; .cmp485;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94091; .cmp486;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94092; .cmp487;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94093; .cmp488;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94094; .cmp489;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94095; .cmp490;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94096; .cmp491;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94097; .cmp492;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94098; .cmp493;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94099; .cmp494;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_GND_AC;
C94100; .cmp495;;C CER,X7S,10uF,10%,50V,1210,-,STANDARD,SMD SOLDERING;10u;;10%;10%;A2C04286300;A2C0428630000;A2C0428630000;A2C0428630000;1210_h2700_c01a;;;;;;;;CON_GND_AC;
C94101; .cmp496;;C CER,X7S,10uF,10%,50V,1210,-,STANDARD,SMD SOLDERING;10u;;10%;10%;A2C04286300;A2C0428630000;A2C0428630000;A2C0428630000;1210_h2700_c01a;;;;;;;;CON_GND_AC;
C94120; .cmp1122;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_QUAD_HMTD_01;
C94121; .cmp1124;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_QUAD_HMTD_01;
C94122; .cmp1121;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_QUAD_HMTD_01;
C94123; .cmp1120;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_QUAD_HMTD_01;
C94124; .cmp1119;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;CON_QUAD_HMTD_01;
C94125; .cmp1125;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;CON_QUAD_HMTD_01;
D11000; .cmp734;;D SC,70 V,0.07 A,EC_SOD523,SMD SOLDERING;1PS79SB70;;;;AAA2177820000;AAA2177820000;AAA2177820000;AAA2177820000;sod523_m01a;;;;;;;;PS_RVP_LM74810_01;
D11001; .cmp756;;D SC,70 V,0.07 A,EC_SOD523,SMD SOLDERING;1PS79SB70;;;;AAA2177820000;AAA2177820000;AAA2177820000;AAA2177820000;sod523_m01a;;;;;;;;PS_RVP_LM74810_01;TV
D11005; .cmp724;;D SC,70 V,0.07 A,EC_SOD523,SMD SOLDERING;1PS79SB70;;;;AAA2177820000;AAA2177820000;AAA2177820000;AAA2177820000;sod523_m01a;;;;;;;;PS_RVP_LM74810_01;TV
D11006; .cmp477;;D SC,70 V,0.07 A,EC_SOD523,SMD SOLDERING;1PS79SB70;;;;AAA2177820000;AAA2177820000;AAA2177820000;AAA2177820000;sod523_m01a;;;;;;;;PS_INH_SHDN;
D11008; .cmp764;;D SC,70 V,0.07 A,EC_SOD523,SMD SOLDERING;1PS79SB70;;;;AAA2177820000;AAA2177820000;AAA2177820000;AAA2177820000;sod523_m01a;;;;;;;;PS_RVP_LM74810_01;
D11012; .cmp702;;D SUP/30V ,- BI -, SMB/DO214AA,SMD SOLDERING;SMBJ30CAHE3;;;;A2C04350500;A2C0435050000;A2C0435050000;A2C0435050000;do214aa_2_m01a;;;;;;;;PS_RVP_LM74810_01;
D11013; .cmp766;;D SC,70 V,0.07 A,EC_SOD523,SMD SOLDERING;1PS79SB70;;;;AAA2177820000;AAA2177820000;AAA2177820000;AAA2177820000;sod523_m01a;;;;;;;;PS_INH_SHDN;
D12000; .cmp1173;;D SC,70 V,0.07 A,EC_SOD523,SMD SOLDERING;1PS79SB70;;;;AAA2177820000;AAA2177820000;AAA2177820000;AAA2177820000;sod523_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
D12001; .cmp861;;D SC/60V,3A,SMB/DO214AA;NRVBS360BT3G STPS3L60UY;;;;A2C01263700;A2C0126370000;A2C0126370000;A2C0126370000;do214aa_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
D12002; .cmp908;;D SC/BAS40,40V,120mA,SOT23;BAS40-06;;;;A2C02222700;A2C0222270000;A2C0222270000;A2C0222270000;sot23_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
D12006; .cmp327;;D SC,70 V,0.07 A,EC_SOD523,SMD SOLDERING;1PS79SB70;;;;AAA2177820000;AAA2177820000;AAA2177820000;AAA2177820000;sod523_m01a;;;;;;;;PS_UV_DET_NCV33161_1;
D13000; .cmp160;;D SC/60V,3A,SMB/DO214AA;NRVBS360BT3G STPS3L60UY;;;;A2C01263700;A2C0126370000;A2C0126370000;A2C0126370000;do214aa_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;
D14001; .cmp2102;;20V,2A,1,SCHOTTKY,SOD123F,RECT DIODE/PMEG2020EH or RB060M-30;PMEG2020;;;;A2C00044135;A2C0004413500;A2C0004413500;A2C0004413500;do219_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
D14003; .cmp1112;;D SC,70 V,0.07 A,EC_SOD523,SMD SOLDERING;1PS79SB70;;;;AAA2177820000;AAA2177820000;AAA2177820000;AAA2177820000;sod523_m01a;;;;;;;;PS_AMUX_SUC_1;
D14004; .cmp1543;;D SC,20.0 V,1.0 A,EC_SOD123_FLAT,SMD SOLDERING;934061456115/NRVB120VLSFT1G;;;;A2C04377100;A2C0437710000;A2C0437710000;A2C0437710000;do219_b1900x2900_h1100_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
IC11002; .cmp781;;IC OTH,EC_DFN12,Ideal Diode High Variant,SMD SOLDERING;LM74810QDRRRQ1;;;;AAA2180170000;AAA2180170000;AAA2180170000;AAA2180170000;dfn12_b3100_p0500_h0800_tab1360x2600_c01a;;;;;;;;PS_RVP_LM74810_01;
IC12001; .cmp149;;IC SUP CIRC/NCV33161,MICROSO8;NCV33161DMR2G;;;;A2C01603000;A2C0160300000;A2C0160300000;A2C0160300000;so_micro8_065_m01a;;;;;;;;PS_UV_DET_NCV33161_1;CHANGE
IC12002; .cmp315;;IC OPCOMP,EC_TSSOP14,SMD SOLDERING;INA302A2QPWRQ1;;;;A2C04533400;A2C0453340000;A2C0453340000;A2C0453340000;tsso14_065_m01a;;;;;;;;PS_ISENSE_INA302_1;
IC12004; .cmp1182;;IC SUP CIRC/LM74700-Q1,TSOP6/SOT23-6,SMD SOLDERING;PLM74700QDBV;;;;A2C03301300;A2C0330130000;A2C0330130000;A2C0330130000;sot23_6_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
IC12005; .cmp905;;1,COMP,0Hz,SC70-6,OP-COMP/TLV3012AQDCKRSV;TLV3012AIDCKRSV;;;;A2C00035204;A2C0003520400;A2C0003520400;A2C0003520400;sot363_2_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
IC12006; .cmp1183;;IC SUP CIRC/LM74700-Q1,TSOP6/SOT23-6,SMD SOLDERING;PLM74700QDBV;;;;A2C03301300;A2C0330130000;A2C0330130000;A2C0330130000;sot23_6_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
IC12007; .cmp1168;;IC SUP CIRC/NCV33161,MICROSO8;NCV33161DMR2G;;;;A2C01603000;A2C0160300000;A2C0160300000;A2C0160300000;so_micro8_065_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;CHANGE
IC12008; .cmp890;;IC SMART POW/TPS1H100,TBD,1,40V,166mOhm,HIGHSIDE SWITCH,GENE;TPS1H100BQPWPRQ1;;;;A2C01983700;A2C0198370000;A2C0198370000;A2C0198370000;tsso14_b4400_p0650_h1200_tab2310x2460_c01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
IC13002; .cmp112;;IC VOLT REG,EC_DFN12_WF,SMD SOLDERING;LM5155-Q1;;;;A2C04256300;A2C0425630000;A2C0425630000;A2C0425630000;dfn12_b3100x2100_p0500_h0800_tab2750x0700_c01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;
IC14000; .cmp1009;;IC LOGIC/74HC4851BQ,QFN16;74HC4851BQ;;;;A2C00458200;A2C0045820000;A2C0045820000;A2C0045820000;qfn16_b3600x2600_p0500_h1000_c01a;;;;;;;;PS_AMUX_SUC_1;
IC14001; .cmp2165;;IC OTH,EC_QFN56_WF,ASIL-D safety PMIC,SMD SOLDERING;MVR5510AMDA4ES;;;;A2C04500800;A2C0450080000;A2C0450080000;A2C0450080000;qfn56_b8100_p0500_h0900_tab5200x5060_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
IC17000; .cmp920;;IC LOGIC,EC_SOT353,SMD SOLDERING;74AUP1G09;;;;A2C04046800;A2C0404680000;A2C0404680000;A2C0404680000;sot353_m01a;;;;;;;;PS_SWITCH_3V3_TPS2559;
IC17001; .cmp919;;IC SMART POW/TPS2559QDRBRQ1,DFN10_WF,1,6.5V,13mOhm,HIGHSIDE;TPS2559DRCR;;;;A2C01881300;A2C0188130000;A2C0188130000;A2C0188130000;dfn10_b3000_p0500_h1000_tab_1650x2450_sp0125_c01a;;;;;;;;PS_SWITCH_3V3_TPS2559;
IC17002; .cmp1099;;IC VOLT REG,EC_QFN16_WF,SMD SOLDERING;BD9S200MUF-CE2;;;;A2C03962900;A2C0396290000;A2C0396290000;A2C0396290000;qfn16_b3000_p0500_h1000_tab_1400x1400_c01a;;;;;;;;PS_BUCK_0V9_BD9S200;
IC17003; .cmp1131;;IC VOLT REG,EC_SOT23,SMD SOLDERING;NCV8164ASN180T1G;;;;AAA2098180000;AAA2098180000;AAA2098180000;AAA2098180000;sot23_c5_h1000_c01a;;;;;;;;PS_LDO_1V8_NCV8164;
IC21000; .cmp1043;;IC BUS DRIV/TJA1043T AND TCAN1043GDRQ1,SO14,PIN11 NOT CONNEC;TCAN1043GDRQ1/TJA1043T;;;;A2C02919600;A2C0291960000;A2C0291960000;A2C0291960000;so14_b8750x4000_p1270_h1750_c01a;;;;;;;;Com_CAN_TRX_01;
IC21001; .cmp1048;;IC BUS DRIV/TJA1044GT/3 Filter time short,SO8,SMD SOLDERING;TJA1044GT/3 / NCV7344AD13R2G;;;;A2C03024000;A2C0302400000;A2C0302400000;A2C0302400000;so8_b4000_p1270_h1700_s01a;;;;;;;;Com_CAN_TRX_02;
IC22000; .cmp1545;;IC SYS,A1,EC_TBD,NONE,OTHER,SMD SOLDERING;RTL9072AAD;;;;AAA2109870000;AAA2109870000;AAA2109870000;AAA2109870000;bga489_b20000x20000_p0800_h1700_c01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
IC22001; .cmp1496;;IC MEM,A1,16MBit,NOR FLASH,EC_SOP8,SMD SOLDERING;IS25LP016D-JNLA3;;;;A2C04465100;A2C0446510000;A2C0446510000;A2C0446510000;so8_b3900_p1270_h1800_c01a;;;;;;;;MEM_FLASH_NOR_16Mbit;
IC22002; .cmp1383;;IC LOGIC/74LVC1G08,SOT 353;SN74LVC1G08QDCKRCT;;;;A2C40000249;A2C4000024900;A2C4000024900;A2C4000024900;sot353_m01a;;;;;;;;Com_ETH_SW_RTL9072AAD-FS;
IC41000; .cmp1020;;IC MCU BLK,A1,EC_BGA525,32 bit,SMD SOLDERING;P32G274ABK0AVUCT;;;;TRC0008005300;TRC0008005300;TRC0008005300;TRC0008005300;bga525_b19000_p0800_h2520_c01a;;;;;;;;IC_SUC_S32G275A;IC_SUC_S32G
IC41001; .cmp1159;;IC LOGIC,EC_TSSOP16,SMD SOLDERING;74HC4520PW;;;;A2C04451100;A2C0445110000;A2C0445110000;A2C0445110000;tsso16_065_m01a;;;;;;;;IC_SUC_S32G275A;
IC41002; .cmp1102;;IC MEM,A1,8GByte,MANAGED NAND,EC_BGA153,SMD SOLDERING;KLM8G1GEUF-B04QT57/H26M41208HPRQ/MTFC8GAMALGT-AAT;;;;A2C04464700;A2C0446470000;A2C0446470000;A2C0446470000;bga153_b13000x11500_p0500_h1000_c01a;;;;;;;;MEM_EMMC_NAND_8GBYTE;
IC41003; .cmp1797;;IC LOGIC,EC_SOT353,SMD SOLDERING;74AUP1G09;;;;A2C04046800;A2C0404680000;A2C0404680000;A2C0404680000;sot353_m01a;;;;;;;;MEM_FLASH_OSPINOR_128Mbit;
IC41004; .cmp1052;;IC LOGIC/74LV11,TSSOP14,SMD SOLDERING;74LVC11;;;;A2C02903400;A2C0290340000;A2C0290340000;A2C0290340000;tsso14_065_m01a;;;;;;;;DI_PUSHPULL_AND3X3_01;
IC41005; .cmp1197;;1,AND,SOT363,LOGIC/74LVC1G11GW;74LVC1G11;;;;A2C00040721;A2C0004072100;A2C0004072100;A2C0004072100;sot363_2_m01a;;;;;;;;DI_PUSHPULL_AND3X3_01;
IC41008; .cmp1872;;IC MEM,A1,1GBit,FLASH SERIAL,EC_BGA24,SMD SOLDERING;MT25QU01GBBB8E12-0AAT/MX66U1G45GXDR00;;;;A2C04485600;A2C0448560000;A2C0448560000;A2C0448560000;bga24_b6100x8100_p1000_h1200_c01a;;;;;;;;MEM_FLASH_OSPINOR_128Mbit;
IC41009; .cmp1243;;IC MEM,A1,8GBit,LPDDR4,EC_BGA200,SMD SOLDERING;MT53E256M32D2FW-046 AUT:B/K4F8E3S4HD-GUCL/H54G36AYRPX246;;;;AAA2211250000;AAA2211250000;AAA2211250000;AAA2211250000;bga200_b10000_p0650_p0800_h0800_c01a;SMH_LPDDR4;;;;;;;MEM_SDRAM_LPDDR4_512MByte;
