Creation date of BOM:;26/08/2021 12:42:46;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Design name:;ADC418AI12;;;;;;;;;;;;;;;;;;;;
Destination name:;ADC418AI12_DDR8Gb;;;;;;;;;;;;;;;;;;;;
Schematic Doc No.:;A2.C775-6410.7_PCB_BA0_AA_SCMVA;;;;;;;;;;;;;;;;;;;;
Reference;CompID;ReusedComp;ECDM Nomenclature;Value;tolerance;ud_PosTolerance;ud_NegTolerance;Part Name;Part Number NPP;Part Number CSE;Part Number Global;packageName;Variation;VariationItem;Module name;Module reference;Module;Module mode;Module number;Function Code;Component Group
C12038; .cmp821;;C ELEC,AL,0.0016 F,20%,35.0 V,SMD SOLDERING;1.6m;;20%;20%;A2C03379100;A2C0337910000;A2C0337910000;A2C0337910000;ecr16h22_hold_s01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12050; .cmp844;;C CER,X7R,100nF,10%,100V,0603,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03588400;A2C0358840000;A2C0358840000;A2C0358840000;0603_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12059; .cmp1169;;C CER,X7R,220nF,5%,25V,C0805,Sn;220n;;5%;5%;A2C40006643;A2C4000664300;A2C4000664300;A2C4000664300;0805_145_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12060; .cmp1138;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12062; .cmp1028;;C CER,X7R,3.3nF,10%,25V,C0402,MIXED;3.3n;;10%;10%;A2C40006265;A2C4000626500;A2C4000626500;A2C4000626500;0402_06_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12074; .cmp230;;C CER,X7R,4.7uF,10%,16V,0805,-,STANDARD,SMD SOLDERING;4.7u;;10%;10%;A2C03169500;A2C0316950000;A2C0316950000;A2C0316950000;0805_145_m01a;;;;;;;;PS_ISENSE_INA302_1;CHANGE
C12075; .cmp240;;C CER,X7R,100nF,10%,16V,0402,-,SOFT TERMINATION;100n;;10%;10%;A2C01479600;A2C0147960000;A2C0147960000;A2C0147960000;0402_06_m01a;;;;;;;;PS_ISENSE_INA302_1;CHANGE
C12076; .cmp265;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;PS_ISENSE_INA302_1;CHANGE
C13006; .cmp156;;C CER,X7R,4.7uF,10%,50V,1210,-,SOFT TERMINATION,SMD SOLDERIN;4.7u;;10%;10%;A2C02933200;A2C0293320000;A2C0293320000;A2C0293320000;1210_30_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;TV
C13008; .cmp119;;C ELEC,ALPOLY,68uF,20%,35V,SMD SOLDERING;68u;;20%;20%;A2C01086800;A2C0108680000;A2C0108680000;A2C0108680000;ecr6h8_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;
C13009; .cmp95;;C CER,X7R,100nF,10%,50V,0603,-,SOFT TERMINATION,SMD SOLDERIN;100n;;10%;10%;A2C02916000;A2C0291600000;A2C0291600000;A2C0291600000;0603_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;
C13010; .cmp103;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;
C13011; .cmp142;;C CER,X7R,100nF,10%,50V,0603,-,SOFT TERMINATION,SMD SOLDERIN;100n;;10%;10%;A2C02916000;A2C0291600000;A2C0291600000;A2C0291600000;0603_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;
C13012; .cmp84;;C CER,X7R,1uF,10%,50V,0805,-,STANDARD;1u;;10%;10%;A2C01324000;A2C0132400000;A2C0132400000;A2C0132400000;0805_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;
C13013; .cmp133;;C CER,X7R,220pF,10%,50V,0402,-,STANDARD;220p;;10%;10%;A2C02373300;A2C0237330000;A2C0237330000;A2C0237330000;0402_06_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;
C13014; .cmp124;;C CER,X7R,15nF,10%,50V,0402,-,STANDARD;15n;;10%;10%;A2C01369700;A2C0136970000;A2C0136970000;A2C0136970000;0402_06_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;
C13015; .cmp85;;C CER,X7R,1nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;1n;;10%;10%;A2C02317900;A2C0231790000;A2C0231790000;A2C0231790000;0402_06_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;
C13017; .cmp90;;C ELEC,ALPOLY,68uF,20%,35V,SMD SOLDERING;68u;;20%;20%;A2C01086800;A2C0108680000;A2C0108680000;A2C0108680000;ecr6h8_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;
C13018; .cmp79;;C CER,X7R,4.7uF,10%,50V,1210,-,SOFT TERMINATION,SMD SOLDERIN;4.7u;;10%;10%;A2C02933200;A2C0293320000;A2C0293320000;A2C0293320000;1210_30_m01a;;;;;;;;PS_PREBOOST_LM5155_27V_1A;TV
