# Assembly Part List incl. Component Properties
#
# Date = 2021/09/13 09:44:12
# Job Name =C:\CAx\Prj\ZUKEN\41538289_AG_ADC418AI12\job\bd\job.dsgn
# Units = millimeters
# Decimal Digits =3
#
# PCB/PNL Type;Offset-X;Offset-Y;Rotation
#
# NA;0.000;0.000;0.000
#
# Reference;Part_Name;Value;Tolerance;Pos_Tolerance;Neg_Tolerance;Geometry;Rated_Voltage;Technology;Placement_Side;Rotation;Position-X;Positon-Y;Pin_Count;Component_Height_on_Placement_Side;Part_Families;Mounting_Type;Footprint_Specification;Package_Type;Function_Code;EMC_Code;Board# on Panel;Part_Name_SV;Part_Name_CAS;Exclude_from_SAP_BOM;Multipitch_Pair;
C11016;A2C02319000;10n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;176.925;17.200;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_RVP_LM74810_01;NO;NA;A2C0231900000;A2C0231900000;NA;NA;
C11019;A2C03118700;220n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;157.300;13.875;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_RVP_LM74810_01;NO;NA;A2C0311870000;A2C0311870000;NA;NA;
C11023;AAA2093820000;10u;NA;10%;10%;1210_h2800_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;180.000;180.750;29.900;2;2.800;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_KL30_FILTER;NO;NA;AAA2093820000;AAA2093820000;NA;NA;
C11024;AAA2093820000;10u;NA;10%;10%;1210_h2800_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;180.000;180.750;33.200;2;2.800;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_KL30_FILTER;NO;NA;AAA2093820000;AAA2093820000;NA;NA;
C11025;AAA2093820000;10u;NA;10%;10%;1210_h2800_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;162.075;33.200;2;2.800;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_KL30_FILTER;NO;NA;AAA2093820000;AAA2093820000;NA;NA;
C11026;A2C02916000;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;172.850;32.850;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_KL30_FILTER;NO;NA;A2C0291600000;A2C0291600000;NA;NA;
C11027;AAA2093820000;10u;NA;10%;10%;1210_h2800_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;162.075;29.900;2;2.800;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_KL30_FILTER;NO;NA;AAA2093820000;AAA2093820000;NA;NA;
C11028;A2C02916000;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;175.800;32.850;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_KL30_FILTER;NO;NA;A2C0291600000;A2C0291600000;NA;NA;
C11029;AAA2093820000;10u;NA;10%;10%;1210_h2800_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;162.075;26.600;2;2.800;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_KL30_FILTER;NO;NA;AAA2093820000;AAA2093820000;NA;NA;
C11030;A2C01055500;47n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;174.450;32.850;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_KL30_FILTER;NO;NA;A2C0105550000;A2C0105550000;NA;NA;
C11031;A2C02318800;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;167.800;21.450;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_INH_SHDN;NO;NA;A2C0231880000;A2C0231880000;NA;NA;
C11032;A2C03118700;220n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;157.075;9.625;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_RVP_LM74810_01;NO;NA;A2C0311870000;A2C0311870000;NA;NA;
C12006;A2C02319000;10n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;172.950;15.350;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_UV_DET_NCV33161_1;NO;NA;A2C0231900000;A2C0231900000;NA;NA;
C12015;A2C40002639;1n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;173.600;27.000;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_ISENSE_INA302_1;NO;NA;A2C4000263900;A2C4000263900;NA;NA;
C12017;A2C01479600;100n;NA;10%;10%;0402_06_m01a;16V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;175.175;20.500;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_UV_DET_NCV33161_1;NO;NA;A2C0147960000;A2C0147960000;NA;NA;
C12028;A2C01479600;100n;NA;10%;10%;0402_06_m01a;16V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;165.175;72.175;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;IPC_DROPBUFFER_20MS_15A;NO;NA;A2C0147960000;A2C0147960000;NA;NA;
C12030;A2C03176600;10n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;165.600;47.125;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;IPC_DROPBUFFER_20MS_15A;NO;NA;A2C0317660000;A2C0317660000;NA;NA;
C12031;A2C02318800;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;174.054;48.125;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;IPC_DROPBUFFER_20MS_15A;NO;NA;A2C0231880000;A2C0231880000;NA;NA;
C12032;A2C01479600;100n;NA;10%;10%;0402_06_m01a;16V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;161.400;51.450;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;IPC_DROPBUFFER_20MS_15A;NO;NA;A2C0147960000;A2C0147960000;NA;NA;
C12033;A2C03588400;100n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;A_SIDE;180.000;177.400;50.700;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;IPC_DROPBUFFER_20MS_15A;NO;NA;A2C0358840000;A2C0358840000;NA;NA;
C12034;A2C02916000;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;0.000;172.850;43.000;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;IPC_DROPBUFFER_20MS_15A;NO;NA;A2C0291600000;A2C0291600000;NA;NA;
C12037;A2C02916000;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;168.100;66.050;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;IPC_DROPBUFFER_20MS_15A;NO;NA;A2C0291600000;A2C0291600000;NA;NA;
C12038;A2C03379100;1.6m;NA;20%;20%;ecr16h22_hold_s01a;35V;SBU08_RR_SM075_Cu35;A_SIDE;135.000;166.000;62.700;2;22.000;Capacitor Electrolytic;UNDEF;ReflowReflow;UNDEF;IPC_DROPBUFFER_20MS_15A;NO;NA;A2C0337910000;A2C0337910000;NA;NA;
C12050;A2C03588400;100n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;169.600;45.400;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;IPC_DROPBUFFER_20MS_15A;NO;NA;A2C0358840000;A2C0358840000;NA;NA;
C12059;A2C40006643;220n;NA;5%;5%;0805_145_m01a;25V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;165.175;62.300;2;1.450;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;IPC_DROPBUFFER_20MS_15A;NO;NA;A2C4000664300;A2C4000664300;NA;NA;
C12060;A2C02317700;100n;NA;10%;10%;0402_06_m01a;16V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;163.375;64.075;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;IPC_DROPBUFFER_20MS_15A;NO;NA;A2C0231770000;A2C0231770000;NA;NA;
C12062;A2C40006265;3.3n;NA;10%;10%;0402_06_m01a;25V;SBU08_RR_SM075_Cu35;B_SIDE;0.000;164.675;73.575;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;IPC_DROPBUFFER_20MS_15A;NO;NA;A2C4000626500;A2C4000626500;NA;NA;
C12074;A2C03169500;4.7u;NA;10%;10%;0805_145_m01a;16V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;170.100;33.100;2;1.450;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_ISENSE_INA302_1;NO;NA;A2C0316950000;A2C0316950000;NA;NA;
C12075;A2C01479600;100n;NA;10%;10%;0402_06_m01a;16V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;161.100;24.900;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_ISENSE_INA302_1;NO;NA;A2C0147960000;A2C0147960000;NA;NA;
C12076;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;163.200;38.500;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_ISENSE_INA302_1;NO;NA;A2C0311880000;A2C0311880000;NA;NA;
C13006;A2C02933200;4.7u;NA;10%;10%;1210_30_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;143.876;80.245;2;3.000;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PREBOOST_LM5155_27V_1A;NO;NA;A2C0293320000;A2C0293320000;NA;NA;
C13007;AAA2093820000;10u;NA;10%;10%;1210_h2800_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;140.574;80.242;2;2.800;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PREBOOST_LM5155_27V_1A;NO;NA;AAA2093820000;AAA2093820000;NA;NA;
C13008;A2C01086800;68u;NA;20%;20%;ecr6h8_m01a;35V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;140.175;77.600;2;8.200;Capacitor Electrolytic;UNDEF;ReflowReflow;UNDEF;PS_PREBOOST_LM5155_27V_1A;NO;NA;A2C0108680000;A2C0108680000;NA;NA;
C13009;A2C02916000;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;137.950;79.500;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PREBOOST_LM5155_27V_1A;NO;NA;A2C0291600000;A2C0291600000;NA;NA;
C13010;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;128.500;73.850;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PREBOOST_LM5155_27V_1A;NO;NA;A2C0311880000;A2C0311880000;NA;NA;
C13011;A2C02916000;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;0.000;137.725;76.750;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PREBOOST_LM5155_27V_1A;NO;NA;A2C0291600000;A2C0291600000;NA;NA;
C13012;A2C01324000;1u;NA;10%;10%;0805_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;270.000;134.400;76.325;2;1.300;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PREBOOST_LM5155_27V_1A;NO;NA;A2C0132400000;A2C0132400000;NA;NA;
C13013;A2C02373300;220p;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;133.955;72.124;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PREBOOST_LM5155_27V_1A;NO;NA;A2C0237330000;A2C0237330000;NA;NA;
C13014;A2C01369700;15n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;133.955;71.224;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PREBOOST_LM5155_27V_1A;NO;NA;A2C0136970000;A2C0136970000;NA;NA;
C13015;A2C02317900;1n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;133.409;70.090;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PREBOOST_LM5155_27V_1A;NO;NA;A2C0231790000;A2C0231790000;NA;NA;
C13017;A2C01086800;68u;NA;20%;20%;ecr6h8_m01a;35V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;155.775;77.600;2;8.200;Capacitor Electrolytic;UNDEF;ReflowReflow;UNDEF;PS_PREBOOST_LM5155_27V_1A;NO;NA;A2C0108680000;A2C0108680000;NA;NA;
C13018;A2C02933200;4.7u;NA;10%;10%;1210_30_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;148.000;80.245;2;3.000;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PREBOOST_LM5155_27V_1A;NO;NA;A2C0293320000;A2C0293320000;NA;NA;
C13019;A2C02933200;4.7u;NA;10%;10%;1210_30_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;151.301;80.243;2;3.000;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PREBOOST_LM5155_27V_1A;NO;NA;A2C0293320000;A2C0293320000;NA;NA;
C13020;AAA2093820000;10u;NA;10%;10%;1210_h2800_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;154.598;80.241;2;2.800;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PREBOOST_LM5155_27V_1A;NO;NA;AAA2093820000;AAA2093820000;NA;NA;
C13021;A2C02916000;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;157.450;79.250;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PREBOOST_LM5155_27V_1A;NO;NA;A2C0291600000;A2C0291600000;NA;NA;
C14000;A2C02318700;47n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;2.600;57.945;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PMIC_SUC_VR5510;NO;NA;A2C0231870000;A2C0231870000;NA;NA;
C14001;A2C01479600;100n;NA;10%;10%;0402_06_m01a;16V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;150.175;32.875;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_AMUX_SUC_1;NO;NA;A2C0147960000;A2C0147960000;NA;NA;
C14002;A2C01578700;680p;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;270.000;1.500;48.175;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PMIC_SUC_VR5510;NO;NA;A2C0157870000;A2C0157870000;NA;NA;
C14003;A2C01578700;680p;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;-1.675;56.975;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PMIC_SUC_VR5510;NO;NA;A2C0157870000;A2C0157870000;NA;NA;
C14004;A2C02933200;4.7u;NA;10%;10%;1210_30_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;270.000;7.550;59.500;2;3.000;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PMIC_SUC_VR5510;NO;NA;A2C0293320000;A2C0293320000;NA;NA;
C14005;A2C02933200;4.7u;NA;10%;10%;1210_30_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;270.000;10.800;59.500;2;3.000;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PMIC_SUC_VR5510;NO;NA;A2C0293320000;A2C0293320000;NA;NA;
C14006;A2C01479600;100n;NA;10%;10%;0402_06_m01a;16V;SBU08_RR_SM075_Cu35;A_SIDE;270.000;6.950;64.975;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_PMIC_SUC_VR5510;NO;NA;A2C0147960000;A2C0147960000;NA;NA;
C14008;AAA2093820000;10u;NA;10%;10%;1210_h2800_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;13.950;67.250;2;2.800;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_PMIC_SUC_VR5510;NO;NA;AAA2093820000;AAA2093820000;NA;NA;
C14009;A2C02916000;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;11.675;67.995;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PMIC_SUC_VR5510;NO;NA;A2C0291600000;A2C0291600000;NA;NA;
C14010;A2C02916000;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;1.025;64.840;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_PMIC_SUC_VR5510;NO;NA;A2C0291600000;A2C0291600000;NA;NA;
